,temperature_celcius ,pressure_KPA,clouds_perc (%),Direction of the Wind(deg),wind speed,time,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,15.72188622,1011.0,20.0,13.0,12.0,2020-11-06 00:00:00,,,,
1,15.72188622,1011.0,22.0,14.0,12.0,2020-11-06 01:00:00,,,,
2,15.72188622,1011.0,24.0,15.0,12.0,2020-11-06 02:00:00,,,,
3,15.72188622,1010.0,25.0,16.0,11.0,2020-11-06 03:00:00,,,,
4,15.72188622,1010.0,26.0,17.0,11.0,2020-11-06 04:00:00,,,,
5,15.72188622,1011.0,26.0,17.0,11.0,2020-11-06 05:00:00,,,,
6,15.72188622,1011.0,27.0,17.0,10.0,2020-11-06 06:00:00,,,,
7,15.72188622,1012.0,26.0,53.0,9.0,2020-11-06 07:00:00,,,,
8,15.72188622,1012.0,26.0,90.0,8.0,2020-11-06 08:00:00,,,,
9,17.72188622,1013.0,26.0,126.0,7.0,2020-11-06 09:00:00,,,,
10,17.72188622,1012.0,27.0,193.0,8.0,2020-11-06 10:00:00,,,,
11,19.72188622,1012.0,27.0,260.0,8.0,2020-11-06 11:00:00,,,,
12,19.72188622,1012.0,27.0,328.0,9.0,2020-11-06 12:00:00,,,,
13,19.72188622,1011.0,24.0,324.0,11.0,2020-11-06 13:00:00,,,,
14,19.72188622,1010.0,21.0,320.0,14.0,2020-11-06 14:00:00,,,,
15,17.72188622,1010.0,18.0,317.0,16.0,2020-11-06 15:00:00,,,,
16,17.72188622,1010.0,17.0,322.0,16.0,2020-11-06 16:00:00,,,,
17,17.72188622,1010.0,16.0,327.0,15.0,2020-11-06 17:00:00,,,,
18,17.72188622,1010.0,15.0,333.0,14.0,2020-11-06 18:00:00,,,,
19,17.72188622,1011.0,14.0,300.0,13.0,2020-11-06 19:00:00,,,,
20,17.72188622,1012.0,13.0,267.0,12.0,2020-11-06 20:00:00,,,,
21,17.72188622,1012.0,13.0,234.0,11.0,2020-11-06 21:00:00,,,,
22,13.72188622,1012.0,11.0,164.0,10.0,2020-11-06 22:00:00,,,,
23,9.721886217,1012.0,10.0,93.0,9.0,2020-11-06 23:00:00,,,,
24,5.721886217,1012.0,9.0,23.0,9.0,2020-11-07 00:00:00,,,,
25,9.721886217,1012.0,9.0,26.0,9.0,2020-11-07 01:00:00,,,,
26,13.72188622,1012.0,8.0,28.0,8.0,2020-11-07 02:00:00,,,,
27,15.72188622,1011.0,8.0,31.0,8.0,2020-11-07 03:00:00,,,,
28,15.72188622,1012.0,8.0,27.0,9.0,2020-11-07 04:00:00,,,,
29,15.72188622,1012.0,8.0,23.0,9.0,2020-11-07 05:00:00,,,,
30,15.72188622,1012.0,8.0,20.0,9.0,2020-11-07 06:00:00,,,,
31,15.72188622,1013.0,8.0,56.0,9.0,2020-11-07 07:00:00,,,,
32,15.72188622,1013.0,8.0,91.0,9.0,2020-11-07 08:00:00,,,,
33,17.72188622,1014.0,9.0,127.0,9.0,2020-11-07 09:00:00,,,,
34,17.72188622,1013.0,9.0,198.0,10.0,2020-11-07 10:00:00,,,,
35,19.72188622,1013.0,9.0,268.0,10.0,2020-11-07 11:00:00,,,,
36,19.72188622,1013.0,9.0,338.0,11.0,2020-11-07 12:00:00,,,,
37,19.72188622,1012.0,9.0,334.0,14.0,2020-11-07 13:00:00,,,,
38,19.72188622,1011.0,9.0,329.0,16.0,2020-11-07 14:00:00,,,,
39,17.72188622,1011.0,9.0,324.0,19.0,2020-11-07 15:00:00,,,,
40,17.72188622,1011.0,8.0,327.0,19.0,2020-11-07 16:00:00,,,,
41,15.72188622,1011.0,8.0,331.0,19.0,2020-11-07 17:00:00,,,,
42,13.72188622,1011.0,7.0,334.0,19.0,2020-11-07 18:00:00,,,,
43,11.72188622,1012.0,7.0,337.0,17.0,2020-11-07 19:00:00,,,,
44,9.721886217,1012.0,6.0,341.0,15.0,2020-11-07 20:00:00,,,,
45,5.721886217,1013.0,5.0,345.0,14.0,2020-11-07 21:00:00,,,,
46,7.721886217,1013.0,4.0,234.0,12.0,2020-11-07 22:00:00,,,,
47,9.721886217,1012.0,2.0,124.0,10.0,2020-11-07 23:00:00,,,,
48,9.721886217,1012.0,1.0,13.0,8.0,2020-11-08 00:00:00,,,,
49,13.72188622,1012.0,1.0,21.0,7.0,2020-11-08 01:00:00,,,,
50,15.72188622,1012.0,2.0,29.0,6.0,2020-11-08 02:00:00,,,,
51,19.72188622,1012.0,3.0,38.0,5.0,2020-11-08 03:00:00,,,,
52,17.72188622,1012.0,3.0,44.0,6.0,2020-11-08 04:00:00,,,,
53,17.72188622,1012.0,4.0,51.0,6.0,2020-11-08 05:00:00,,,,
54,15.72188622,1012.0,4.0,58.0,7.0,2020-11-08 06:00:00,,,,
55,17.72188622,1013.0,5.0,91.0,6.0,2020-11-08 07:00:00,,,,
56,17.72188622,1014.0,5.0,124.0,6.0,2020-11-08 08:00:00,,,,
57,17.72188622,1014.0,5.0,157.0,5.0,2020-11-08 09:00:00,,,,
58,19.72188622,1014.0,6.0,215.0,6.0,2020-11-08 10:00:00,,,,
59,19.72188622,1014.0,6.0,273.0,7.0,2020-11-08 11:00:00,,,,
60,21.72188622,1013.0,7.0,332.0,8.0,2020-11-08 12:00:00,,,,
61,19.72188622,1013.0,7.0,323.0,11.0,2020-11-08 13:00:00,,,,
62,19.72188622,1012.0,7.0,315.0,14.0,2020-11-08 14:00:00,,,,
63,19.72188622,1012.0,7.0,307.0,17.0,2020-11-08 15:00:00,,,,
64,17.72188622,1012.0,7.0,313.0,17.0,2020-11-08 16:00:00,,,,
65,15.72188622,1012.0,7.0,318.0,17.0,2020-11-08 17:00:00,,,,
66,15.72188622,1012.0,6.0,324.0,17.0,2020-11-08 18:00:00,,,,
67,13.72188622,1013.0,6.0,292.0,15.0,2020-11-08 19:00:00,,,,
68,11.72188622,1013.0,6.0,259.0,13.0,2020-11-08 20:00:00,,,,
69,9.721886217,1014.0,5.0,226.0,11.0,2020-11-08 21:00:00,,,,
70,9.721886217,1014.0,6.0,159.0,9.0,2020-11-08 22:00:00,,,,
71,9.721886217,1013.0,7.0,91.0,8.0,2020-11-08 23:00:00,,,,
72,9.721886217,1013.0,8.0,24.0,6.0,2020-11-09 00:00:00,,,,
73,11.72188622,1013.0,8.0,60.0,6.0,2020-11-09 01:00:00,,,,
74,13.72188622,1013.0,8.0,96.0,6.0,2020-11-09 02:00:00,,,,
75,15.72188622,1012.0,9.0,132.0,6.0,2020-11-09 03:00:00,,,,
76,15.72188622,1013.0,9.0,173.0,7.0,2020-11-09 04:00:00,,,,
77,15.72188622,1013.0,10.0,214.0,7.0,2020-11-09 05:00:00,,,,
78,13.72188622,1013.0,11.0,255.0,8.0,2020-11-09 06:00:00,,,,
79,15.72188622,1013.0,11.0,217.0,7.0,2020-11-09 07:00:00,,,,
80,15.72188622,1014.0,11.0,179.0,7.0,2020-11-09 08:00:00,,,,
81,15.72188622,1014.0,12.0,142.0,6.0,2020-11-09 09:00:00,,,,
82,17.72188622,1014.0,11.0,201.0,7.0,2020-11-09 10:00:00,,,,
83,17.72188622,1014.0,11.0,260.0,8.0,2020-11-09 11:00:00,,,,
84,19.72188622,1013.0,10.0,319.0,9.0,2020-11-09 12:00:00,,,,
85,19.72188622,1013.0,9.0,314.0,12.0,2020-11-09 13:00:00,,,,
86,17.72188622,1012.0,9.0,309.0,15.0,2020-11-09 14:00:00,,,,
87,17.72188622,1011.0,8.0,304.0,19.0,2020-11-09 15:00:00,,,,
88,17.72188622,1011.0,9.0,306.0,19.0,2020-11-09 16:00:00,,,,
89,15.72188622,1012.0,11.0,309.0,18.0,2020-11-09 17:00:00,,,,
90,15.72188622,1012.0,12.0,311.0,18.0,2020-11-09 18:00:00,,,,
91,15.72188622,1012.0,14.0,279.0,16.0,2020-11-09 19:00:00,,,,
92,15.72188622,1013.0,15.0,247.0,13.0,2020-11-09 20:00:00,,,,
93,15.72188622,1013.0,17.0,215.0,10.0,2020-11-09 21:00:00,,,,
94,13.72188622,1013.0,17.0,223.0,10.0,2020-11-09 22:00:00,,,,
95,13.72188622,1013.0,18.0,232.0,10.0,2020-11-09 23:00:00,,,,
96,13.72188622,1013.0,18.0,241.0,9.0,2020-11-10 00:00:00,,,,
97,13.72188622,1013.0,18.0,166.0,9.0,2020-11-10 01:00:00,,,,
98,13.72188622,1013.0,17.0,91.0,9.0,2020-11-10 02:00:00,,,,
99,11.72188622,1012.0,17.0,16.0,9.0,2020-11-10 03:00:00,,,,
100,11.72188622,1012.0,16.0,21.0,9.0,2020-11-10 04:00:00,,,,
101,11.72188622,1013.0,16.0,27.0,9.0,2020-11-10 05:00:00,,,,
102,11.72188622,1013.0,15.0,32.0,9.0,2020-11-10 06:00:00,,,,
103,13.72188622,1013.0,15.0,45.0,8.0,2020-11-10 07:00:00,,,,
104,13.72188622,1013.0,15.0,58.0,7.0,2020-11-10 08:00:00,,,,
105,15.72188622,1014.0,15.0,72.0,6.0,2020-11-10 09:00:00,,,,
106,15.72188622,1013.0,15.0,99.0,6.0,2020-11-10 10:00:00,,,,
107,17.72188622,1013.0,15.0,126.0,6.0,2020-11-10 11:00:00,,,,
108,19.72188622,1012.0,15.0,153.0,6.0,2020-11-10 12:00:00,,,,
109,19.72188622,1012.0,15.0,195.0,8.0,2020-11-10 13:00:00,,,,
110,19.72188622,1011.0,15.0,237.0,10.0,2020-11-10 14:00:00,,,,
111,17.72188622,1010.0,15.0,280.0,12.0,2020-11-10 15:00:00,,,,
112,17.72188622,1010.0,15.0,288.0,13.0,2020-11-10 16:00:00,,,,
113,15.72188622,1011.0,14.0,297.0,14.0,2020-11-10 17:00:00,,,,
114,15.72188622,1011.0,14.0,305.0,14.0,2020-11-10 18:00:00,,,,
115,15.72188622,1011.0,13.0,282.0,13.0,2020-11-10 19:00:00,,,,
116,15.72188622,1011.0,12.0,259.0,12.0,2020-11-10 20:00:00,,,,
117,15.72188622,1012.0,12.0,236.0,10.0,2020-11-10 21:00:00,,,,
118,11.72188622,1012.0,12.0,165.0,9.0,2020-11-10 22:00:00,,,,
119,9.721886217,1012.0,12.0,94.0,9.0,2020-11-10 23:00:00,,,,
120,5.721886217,1012.0,13.0,24.0,8.0,2020-11-11 00:00:00,,,,
121,7.721886217,1011.0,13.0,29.0,8.0,2020-11-11 01:00:00,,,,
122,11.72188622,1011.0,14.0,34.0,7.0,2020-11-11 02:00:00,,,,
123,13.72188622,1011.0,14.0,39.0,7.0,2020-11-11 03:00:00,,,,
124,13.72188622,1011.0,14.0,38.0,7.0,2020-11-11 04:00:00,,,,
125,13.72188622,1011.0,13.0,37.0,8.0,2020-11-11 05:00:00,,,,
126,13.72188622,1012.0,12.0,36.0,8.0,2020-11-11 06:00:00,,,,
127,13.72188622,1012.0,11.0,45.0,8.0,2020-11-11 07:00:00,,,,
128,13.72188622,1012.0,10.0,53.0,8.0,2020-11-11 08:00:00,,,,
129,15.72188622,1013.0,9.0,62.0,8.0,2020-11-11 09:00:00,,,,
130,17.72188622,1012.0,9.0,90.0,7.0,2020-11-11 10:00:00,,,,
131,17.72188622,1012.0,9.0,118.0,6.0,2020-11-11 11:00:00,,,,
132,19.72188622,1012.0,9.0,146.0,5.0,2020-11-11 12:00:00,,,,
133,19.72188622,1011.0,8.0,193.0,7.0,2020-11-11 13:00:00,,,,
134,19.72188622,1010.0,8.0,239.0,8.0,2020-11-11 14:00:00,,,,
135,19.72188622,1010.0,7.0,285.0,10.0,2020-11-11 15:00:00,,,,
136,19.72188622,1010.0,7.0,298.0,12.0,2020-11-11 16:00:00,,,,
137,17.72188622,1010.0,7.0,312.0,15.0,2020-11-11 17:00:00,,,,
138,15.72188622,1010.0,6.0,325.0,17.0,2020-11-11 18:00:00,,,,
139,15.72188622,1011.0,6.0,299.0,16.0,2020-11-11 19:00:00,,,,
140,13.72188622,1012.0,5.0,272.0,14.0,2020-11-11 20:00:00,,,,
141,13.72188622,1012.0,4.0,245.0,13.0,2020-11-11 21:00:00,,,,
142,11.72188622,1012.0,6.0,181.0,11.0,2020-11-11 22:00:00,,,,
143,11.72188622,1012.0,7.0,116.0,9.0,2020-11-11 23:00:00,,,,
144,9.721886217,1012.0,9.0,52.0,7.0,2020-11-12 00:00:00,,,,
145,11.72188622,1012.0,8.0,45.0,8.0,2020-11-12 01:00:00,,,,
146,13.72188622,1012.0,7.0,38.0,8.0,2020-11-12 02:00:00,,,,
147,13.72188622,1011.0,6.0,31.0,9.0,2020-11-12 03:00:00,,,,
148,13.72188622,1012.0,6.0,31.0,10.0,2020-11-12 04:00:00,,,,
149,13.72188622,1012.0,5.0,30.0,10.0,2020-11-12 05:00:00,,,,
150,13.72188622,1012.0,5.0,29.0,11.0,2020-11-12 06:00:00,,,,
151,13.72188622,1013.0,4.0,38.0,11.0,2020-11-12 07:00:00,,,,
152,13.72188622,1013.0,4.0,47.0,11.0,2020-11-12 08:00:00,,,,
153,15.72188622,1014.0,4.0,55.0,11.0,2020-11-12 09:00:00,,,,
154,17.72188622,1013.0,4.0,87.0,11.0,2020-11-12 10:00:00,,,,
155,19.72188622,1013.0,3.0,118.0,11.0,2020-11-12 11:00:00,,,,
156,21.72188622,1012.0,3.0,150.0,10.0,2020-11-12 12:00:00,,,,
157,21.72188622,1012.0,3.0,212.0,12.0,2020-11-12 13:00:00,,,,
158,21.72188622,1011.0,3.0,274.0,13.0,2020-11-12 14:00:00,,,,
159,21.72188622,1011.0,3.0,335.0,15.0,2020-11-12 15:00:00,,,,
160,19.72188622,1011.0,3.0,300.0,16.0,2020-11-12 16:00:00,,,,
161,17.72188622,1011.0,3.0,264.0,17.0,2020-11-12 17:00:00,,,,
162,15.72188622,1012.0,3.0,228.0,18.0,2020-11-12 18:00:00,,,,
163,11.72188622,1012.0,4.0,160.0,17.0,2020-11-12 19:00:00,,,,
164,9.721886217,1013.0,4.0,92.0,16.0,2020-11-12 20:00:00,,,,
165,5.721886217,1013.0,4.0,24.0,15.0,2020-11-12 21:00:00,,,,
166,9.721886217,1013.0,4.0,35.0,15.0,2020-11-12 22:00:00,,,,
167,11.72188622,1013.0,3.0,47.0,15.0,2020-11-12 23:00:00,,,,
168,15.72188622,1013.0,3.0,58.0,16.0,2020-11-13 00:00:00,,,,
169,15.72188622,1013.0,3.0,58.0,15.0,2020-11-13 01:00:00,,,,
170,15.72188622,1013.0,3.0,59.0,13.0,2020-11-13 02:00:00,,,,
171,13.72188622,1013.0,3.0,59.0,12.0,2020-11-13 03:00:00,,,,
172,13.72188622,1013.0,3.0,59.0,12.0,2020-11-13 04:00:00,,,,
173,13.72188622,1013.0,4.0,58.0,12.0,2020-11-13 05:00:00,,,,
174,13.72188622,1014.0,4.0,58.0,12.0,2020-11-13 06:00:00,,,,
175,13.72188622,1014.0,4.0,57.0,13.0,2020-11-13 07:00:00,,,,
176,13.72188622,1015.0,5.0,57.0,13.0,2020-11-13 08:00:00,,,,
177,13.72188622,1015.0,5.0,56.0,14.0,2020-11-13 09:00:00,,,,
178,15.72188622,1015.0,6.0,89.0,14.0,2020-11-13 10:00:00,,,,
179,17.72188622,1015.0,6.0,122.0,14.0,2020-11-13 11:00:00,,,,
180,19.72188622,1014.0,7.0,154.0,14.0,2020-11-13 12:00:00,,,,
181,19.72188622,1013.0,9.0,181.0,13.0,2020-11-13 13:00:00,,,,
182,19.72188622,1013.0,12.0,207.0,13.0,2020-11-13 14:00:00,,,,
183,19.72188622,1012.0,14.0,234.0,13.0,2020-11-13 15:00:00,,,,
184,19.72188622,1012.0,16.0,164.0,14.0,2020-11-13 16:00:00,,,,
185,19.72188622,1013.0,18.0,94.0,15.0,2020-11-13 17:00:00,,,,
186,19.72188622,1013.0,20.0,25.0,15.0,2020-11-13 18:00:00,,,,
187,17.72188622,1014.0,20.0,38.0,17.0,2020-11-13 19:00:00,,,,
188,17.72188622,1014.0,19.0,52.0,18.0,2020-11-13 20:00:00,,,,
189,15.72188622,1015.0,19.0,65.0,20.0,2020-11-13 21:00:00,,,,
190,15.72188622,1015.0,14.0,65.0,18.0,2020-11-13 22:00:00,,,,
191,15.72188622,1015.0,10.0,64.0,15.0,2020-11-13 23:00:00,,,,
192,15.72188622,1015.0,6.0,64.0,13.0,2020-11-14 00:00:00,,,,
193,15.72188622,1015.0,5.0,61.0,13.0,2020-11-14 01:00:00,,,,
194,13.72188622,1015.0,4.0,58.0,12.0,2020-11-14 02:00:00,,,,
195,13.72188622,1015.0,3.0,54.0,12.0,2020-11-14 03:00:00,,,,
196,13.72188622,1015.0,4.0,57.0,13.0,2020-11-14 04:00:00,,,,
197,11.72188622,1015.0,5.0,60.0,13.0,2020-11-14 05:00:00,,,,
198,11.72188622,1015.0,6.0,62.0,14.0,2020-11-14 06:00:00,,,,
199,11.72188622,1016.0,8.0,65.0,14.0,2020-11-14 07:00:00,,,,
200,11.72188622,1016.0,9.0,67.0,14.0,2020-11-14 08:00:00,,,,
201,13.72188622,1016.0,11.0,70.0,14.0,2020-11-14 09:00:00,,,,
202,13.72188622,1016.0,13.0,64.0,14.0,2020-11-14 10:00:00,,,,
203,15.72188622,1015.0,16.0,57.0,14.0,2020-11-14 11:00:00,,,,
204,17.72188622,1015.0,18.0,51.0,14.0,2020-11-14 12:00:00,,,,
205,17.72188622,1014.0,21.0,79.0,13.0,2020-11-14 13:00:00,,,,
206,17.72188622,1013.0,23.0,107.0,12.0,2020-11-14 14:00:00,,,,
207,19.72188622,1012.0,26.0,135.0,11.0,2020-11-14 15:00:00,,,,
208,17.72188622,1013.0,28.0,175.0,11.0,2020-11-14 16:00:00,,,,
209,17.72188622,1013.0,29.0,215.0,12.0,2020-11-14 17:00:00,,,,
210,17.72188622,1013.0,31.0,255.0,12.0,2020-11-14 18:00:00,,,,
211,17.72188622,1013.0,30.0,192.0,12.0,2020-11-14 19:00:00,,,,
212,17.72188622,1014.0,29.0,130.0,12.0,2020-11-14 20:00:00,,,,
213,17.72188622,1014.0,28.0,68.0,12.0,2020-11-14 21:00:00,,,,
214,15.72188622,1014.0,49.0,80.0,12.0,2020-11-14 22:00:00,,,,
215,15.72188622,1014.0,70.0,93.0,12.0,2020-11-14 23:00:00,,,,
216,15.72188622,1014.0,91.0,105.0,12.0,2020-11-15 00:00:00,,,,
217,15.72188622,1013.0,92.0,102.0,13.0,2020-11-15 01:00:00,,,,
218,13.72188622,1013.0,92.0,99.0,14.0,2020-11-15 02:00:00,,,,
219,13.72188622,1013.0,93.0,96.0,14.0,2020-11-15 03:00:00,,,,
220,13.72188622,1013.0,85.0,92.0,15.0,2020-11-15 04:00:00,,,,
221,13.72188622,1013.0,77.0,87.0,15.0,2020-11-15 05:00:00,,,,
222,13.72188622,1013.0,68.0,82.0,15.0,2020-11-15 06:00:00,,,,
223,13.72188622,1014.0,58.0,84.0,15.0,2020-11-15 07:00:00,,,,
224,15.72188622,1014.0,48.0,86.0,15.0,2020-11-15 08:00:00,,,,
225,15.72188622,1015.0,38.0,88.0,15.0,2020-11-15 09:00:00,,,,
226,17.72188622,1015.0,36.0,112.0,14.0,2020-11-15 10:00:00,,,,
227,17.72188622,1014.0,34.0,135.0,12.0,2020-11-15 11:00:00,,,,
228,19.72188622,1014.0,33.0,159.0,11.0,2020-11-15 12:00:00,,,,
229,19.72188622,1013.0,39.0,197.0,10.0,2020-11-15 13:00:00,,,,
230,19.72188622,1012.0,46.0,235.0,10.0,2020-11-15 14:00:00,,,,
231,19.72188622,1012.0,53.0,274.0,10.0,2020-11-15 15:00:00,,,,
232,17.72188622,1012.0,53.0,283.0,10.0,2020-11-15 16:00:00,,,,
233,17.72188622,1012.0,53.0,291.0,11.0,2020-11-15 17:00:00,,,,
234,15.72188622,1013.0,53.0,300.0,11.0,2020-11-15 18:00:00,,,,
235,15.72188622,1013.0,52.0,308.0,10.0,2020-11-15 19:00:00,,,,
236,15.72188622,1014.0,52.0,316.0,9.0,2020-11-15 20:00:00,,,,
237,15.72188622,1014.0,51.0,325.0,9.0,2020-11-15 21:00:00,,,,
238,15.72188622,1014.0,44.0,293.0,9.0,2020-11-15 22:00:00,,,,
239,15.72188622,1014.0,37.0,261.0,10.0,2020-11-15 23:00:00,,,,
240,13.72188622,1014.0,31.0,229.0,11.0,2020-11-16 00:00:00,,,,
241,13.72188622,1014.0,34.0,157.0,10.0,2020-11-16 01:00:00,,,,
242,13.72188622,1013.0,37.0,86.0,10.0,2020-11-16 02:00:00,,,,
243,13.72188622,1013.0,40.0,15.0,9.0,2020-11-16 03:00:00,,,,
244,13.72188622,1013.0,40.0,22.0,9.0,2020-11-16 04:00:00,,,,
245,13.72188622,1013.0,39.0,29.0,9.0,2020-11-16 05:00:00,,,,
246,13.72188622,1013.0,39.0,36.0,9.0,2020-11-16 06:00:00,,,,
247,13.72188622,1014.0,33.0,37.0,8.0,2020-11-16 07:00:00,,,,
248,15.72188622,1014.0,28.0,39.0,8.0,2020-11-16 08:00:00,,,,
249,15.72188622,1015.0,22.0,40.0,7.0,2020-11-16 09:00:00,,,,
250,17.72188622,1014.0,23.0,68.0,7.0,2020-11-16 10:00:00,,,,
251,19.72188622,1014.0,23.0,96.0,7.0,2020-11-16 11:00:00,,,,
252,19.72188622,1014.0,24.0,124.0,7.0,2020-11-16 12:00:00,,,,
253,19.72188622,1013.0,24.0,187.0,9.0,2020-11-16 13:00:00,,,,
254,19.72188622,1012.0,25.0,251.0,10.0,2020-11-16 14:00:00,,,,
255,19.72188622,1012.0,25.0,315.0,12.0,2020-11-16 15:00:00,,,,
256,19.72188622,1012.0,27.0,321.0,12.0,2020-11-16 16:00:00,,,,
257,19.72188622,1012.0,29.0,326.0,13.0,2020-11-16 17:00:00,,,,
258,17.72188622,1013.0,31.0,332.0,13.0,2020-11-16 18:00:00,,,,
259,17.72188622,1013.0,34.0,300.0,12.0,2020-11-16 19:00:00,,,,
260,17.72188622,1014.0,37.0,268.0,12.0,2020-11-16 20:00:00,,,,
261,17.72188622,1014.0,40.0,237.0,11.0,2020-11-16 21:00:00,,,,
262,17.72188622,1014.0,40.0,165.0,10.0,2020-11-16 22:00:00,,,,
263,17.72188622,1014.0,39.0,94.0,9.0,2020-11-16 23:00:00,,,,
264,17.72188622,1015.0,39.0,22.0,8.0,2020-11-17 00:00:00,,,,
265,17.72188622,1014.0,34.0,25.0,7.0,2020-11-17 01:00:00,,,,
266,15.72188622,1014.0,29.0,28.0,7.0,2020-11-17 02:00:00,,,,
267,15.72188622,1013.0,24.0,31.0,6.0,2020-11-17 03:00:00,,,,
268,15.72188622,1013.0,22.0,30.0,7.0,2020-11-17 04:00:00,,,,
269,15.72188622,1014.0,20.0,28.0,7.0,2020-11-17 05:00:00,,,,
270,15.72188622,1014.0,17.0,27.0,8.0,2020-11-17 06:00:00,,,,
271,17.72188622,1014.0,15.0,31.0,8.0,2020-11-17 07:00:00,,,,
272,17.72188622,1015.0,12.0,36.0,8.0,2020-11-17 08:00:00,,,,
273,19.72188622,1015.0,9.0,40.0,8.0,2020-11-17 09:00:00,,,,
274,19.72188622,1015.0,8.0,74.0,8.0,2020-11-17 10:00:00,,,,
275,21.72188622,1014.0,7.0,109.0,8.0,2020-11-17 11:00:00,,,,
276,21.72188622,1014.0,6.0,144.0,8.0,2020-11-17 12:00:00,,,,
277,21.72188622,1013.0,7.0,201.0,11.0,2020-11-17 13:00:00,,,,
278,21.72188622,1012.0,9.0,259.0,14.0,2020-11-17 14:00:00,,,,
279,21.72188622,1012.0,10.0,317.0,17.0,2020-11-17 15:00:00,,,,
280,19.72188622,1012.0,10.0,321.0,18.0,2020-11-17 16:00:00,,,,
281,19.72188622,1012.0,10.0,326.0,19.0,2020-11-17 17:00:00,,,,
282,17.72188622,1012.0,10.0,331.0,21.0,2020-11-17 18:00:00,,,,
283,15.72188622,1012.0,9.0,300.0,18.0,2020-11-17 19:00:00,,,,
284,15.72188622,1013.0,9.0,270.0,15.0,2020-11-17 20:00:00,,,,
285,13.72188622,1014.0,8.0,240.0,13.0,2020-11-17 21:00:00,,,,
286,15.72188622,1014.0,11.0,238.0,11.0,2020-11-17 22:00:00,,,,
287,15.72188622,1014.0,14.0,236.0,9.0,2020-11-17 23:00:00,,,,
288,17.72188622,1014.0,18.0,234.0,7.0,2020-11-18 00:00:00,,,,
289,17.72188622,1013.0,17.0,173.0,7.0,2020-11-18 01:00:00,,,,
290,15.72188622,1013.0,16.0,112.0,6.0,2020-11-18 02:00:00,,,,
291,15.72188622,1013.0,15.0,51.0,6.0,2020-11-18 03:00:00,,,,
292,15.72188622,1013.0,15.0,66.0,7.0,2020-11-18 04:00:00,,,,
293,15.72188622,1013.0,14.0,81.0,8.0,2020-11-18 05:00:00,,,,
294,15.72188622,1013.0,13.0,97.0,8.0,2020-11-18 06:00:00,,,,
295,15.72188622,1014.0,11.0,98.0,9.0,2020-11-18 07:00:00,,,,
296,17.72188622,1014.0,9.0,99.0,9.0,2020-11-18 08:00:00,,,,
297,17.72188622,1015.0,7.0,99.0,10.0,2020-11-18 09:00:00,,,,
298,19.72188622,1014.0,6.0,124.0,10.0,2020-11-18 10:00:00,,,,
