Time,Pressure_kpa,Cloud Cover (%),Temperature (C) ,Wind Direction (deg),Wind Speed (kmh)
17/1/2021 8:00,1014.525,,,61.625,3.34375
17/1/2021 9:00,,5.875,8.371886217,,
,1015.1,3.625,15.27438622,,5.75375
17/1/2021 11:00,1014.825,1.375,19.24188622,34.375,9.3425
17/1/2021 12:00,1013.9875,0.125,23.50938622,59.75,9.8375
17/1/2021 13:00,1012.85,0,22.50688622,274.375,10.46
17/1/2021 14:00,1012.0375,0,20.62438622,269.625,19.00375
17/1/2021 15:00,1011.5125,0.875,19.86688622,280,22.475
17/1/2021 16:00,1011.3125,1.5,19.67938622,299.75,19.6975
,1011.425,0.125,16.48188622,300,18.13875
17/1/2021 18:00,1012.175,0,13.94188622,,13.93
17/1/2021 19:00,1012.9125,0,13.40938622,319.375,11.8025
17/1/2021 20:00,1013.7875,0,11.80188622,347.875,13.48625
17/1/2021 21:00,1014.3125,0,11.49438622,73.625,9.96
17/1/2021 22:00,1014.7125,0.125,11.42438622,22.125,6.43625
,1014.4,2.75,9.156886217,,7.7875
18/1/2021 0:00,1013.85,10.25,7.556886217,46.125,3.805
18/1/2021 1:00,1013.5,10.5,7.421886217,39.5,3.09125
18/1/2021 2:00,1013.1125,8.875,7.189386217,43.75,2.9075
18/1/2021 3:00,1012.8125,12,6.699386217,39.5,3.3075
18/1/2021 4:00,1012.775,15.75,6.346886217,73.125,7.43875
18/1/2021 5:00,1013.1375,13.875,6.061886217,67.375,3.47875
18/1/2021 6:00,1013.8125,8.25,7.044386217,72.625,3.015
18/1/2021 7:00,1014.7125,6.875,6.241886217,69.875,3.50875
18/1/2021 8:00,1016,4,15.72188622,84,11
18/1/2021 9:00,1016,4,15.72188622,92,11
18/1/2021 10:00,1016,3,17.72188622,120,10
18/1/2021 11:00,1015,3,19.72188622,149,10
18/1/2021 12:00,1015,3,23.72188622,178,9
18/1/2021 13:00,1014,3,23.72188622,222,10
18/1/2021 14:00,1014,3,23.72188622,265,11
18/1/2021 15:00,1013,3,23.72188622,309,12
18/1/2021 16:00,1013,4,21.72188622,314,13
18/1/2021 17:00,1013,4,19.72188622,320,15
18/1/2021 18:00,1013,4,19.72188622,325,17
18/1/2021 19:00,1013,5,17.72188622,293,15
18/1/2021 20:00,1013,6,17.72188622,262,14
18/1/2021 21:00,1014,7,15.72188622,230,13
18/1/2021 22:00,1014,5,13.72188622,161,11
18/1/2021 23:00,1014,4,13.72188622,91,10
19/1/2021 0:00,1014,3,11.72188622,22,9
19/1/2021 1:00,1014,4,11.72188622,28,8
19/1/2021 2:00,1013,5,13.72188622,33,8
19/1/2021 3:00,1013,5,13.72188622,39,7
19/1/2021 4:00,1013,6,13.72188622,40,7
19/1/2021 5:00,1013,6,13.72188622,41,8
19/1/2021 6:00,1014,6,11.72188622,43,9
19/1/2021 7:00,1014,7,13.72188622,48,8