datetime,load,pressure,cloud_cover,temperature,wind_speed,wind_direction,month,hour,type_of_day,covid,holiday
16/1/2021 0:00,1054663.553,1009,2,16,9,289,4,0,6,1,1
16/1/2021 1:00,1036513.553,1008,2,18,9,288,4,1,6,1,1
16/1/2021 2:00,1019463.553,1008,3,20,8,288,4,2,6,1,1
16/1/2021 3:00,1006263.553,1008,3,22,7,288,4,3,6,1,1
16/1/2021 4:00,999663.553,1008,2,22,6,281,4,4,6,1,1
16/1/2021 5:00,995813.553,1009,2,22,6,275,4,5,6,1,1
16/1/2021 6:00,984813.553,1009,1,24,5,268,4,6,6,1,1
16/1/2021 7:00,984813.553,1010,1,24,5,259,4,7,6,1,1
16/1/2021 8:00,999663.553,1010,0,24,6,249,4,8,6,1,1
16/1/2021 9:00,1012863.553,1011,0,26,6,240,4,9,6,1,1
16/1/2021 10:00,1027163.553,1011,0,26,8,246,4,10,6,1,1
16/1/2021 11:00,1028263.553,1011,0,26,11,253,4,11,6,1,1
16/1/2021 12:00,1028263.553,1010,0,26,14,259,4,12,6,1,1
16/1/2021 13:00,1028813.553,1009,0,26,16,268,4,13,6,1,1
16/1/2021 14:00,1029913.553,1009,0,24,18,277,4,14,6,1,1
16/1/2021 15:00,1029913.553,1008,0,24,20,286,4,15,6,1,1
16/1/2021 16:00,1023863.553,1008,0,24,20,286,4,16,6,1,1
16/1/2021 17:00,1018913.553,1008,0,24,19,286,4,17,6,1,1
16/1/2021 18:00,1014513.553,1008,0,22,19,286,4,18,6,1,1
16/1/2021 19:00,1028813.553,1009,0,22,18,284,4,19,6,1,1
16/1/2021 20:00,1046413.553,1009,0,22,16,282,4,20,6,1,1
16/1/2021 21:00,1049713.553,1010,0,20,14,280,4,21,6,1,1
16/1/2021 22:00,1059063.553,1010,0,20,12,290,4,22,6,1,1
16/1/2021 23:00,1054113.553,1010,0,20,10,299,4,23,6,1,1
17/1/2021 0:00,1037613.553,1010,0,20,8,309,4,0,7,1,1
17/1/2021 1:00,1023313.553,1009,0,22,7,320,4,1,7,1,1
17/1/2021 2:00,1009013.553,1009,0,24,6,332,4,2,7,1,1
17/1/2021 3:00,995263.553,1009,0,26,5,343,4,3,7,1,1
17/1/2021 4:00,987013.553,1009,0,26,5,312,4,4,7,1,1
17/1/2021 5:00,989213.553,1009,0,24,4,281,4,5,7,1,1
17/1/2021 6:00,979863.553,1010,0,24,4,251,4,6,7,1,1
17/1/2021 7:00,972713.553,1010,0,24,5,208,4,7,7,1,1
17/1/2021 8:00,981513.553,1010,0,24,6,165,4,8,7,1,1
17/1/2021 9:00,990863.553,1011,0,26,6,123,4,9,7,1,1
17/1/2021 10:00,996913.553,1011,0,24,10,179,4,10,7,1,1
17/1/2021 11:00,999663.553,1010,0,24,14,235,4,11,7,1,1
17/1/2021 12:00,1004613.553,1010,0,24,17,291,4,12,7,1,1
17/1/2021 13:00,1007363.553,1009,0,24,20,292,4,13,7,1,1
17/1/2021 14:00,1009563.553,1008,0,22,23,292,4,14,7,1,1
17/1/2021 15:00,1007363.553,1008,0,22,26,292,4,15,7,1,1
17/1/2021 16:00,1004063.553,1008,0,20,25,291,4,16,7,1,1
17/1/2021 17:00,1004613.553,1008,0,20,24,291,4,17,7,1,1
17/1/2021 18:00,999663.553,1008,0,18,23,290,4,18,7,1,1
17/1/2021 19:00,1020563.553,1009,0,16,19,288,4,19,7,1,1
17/1/2021 20:00,1028813.553,1009,0,16,16,285,4,20,7,1,1
17/1/2021 21:00,1036513.553,1010,0,14,12,282,4,21,7,1,1
17/1/2021 22:00,1040363.553,1010,3,14,11,284,4,22,7,1,1
17/1/2021 23:00,1042563.553,1010,7,12,10,286,4,23,7,1,1